"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"Multi-site","NOC-640000","Multiple circuits are down in the NorCal region.","2021-01-16 12:56:00","2021-01-18 08:55:00","43:59","Butte Glenn CCD ;; CA Department of Education ;; Del Norte COE ;; Lake Tahoe USD ;; Lassen COE ;; Los Rios CCD ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Sierra Joint CCD ;; Siskiyou COE ;; Tulelake Basin Joint USD ;; Woodland CC ;; Yuba CCD - Sutter County Center","Humboldt County Library ;; Lake County Public Library ;; Lake Tahoe CC ;; Lincoln Public Library ;; Los Rios CCD Rancho Cordova Ed_Center ;; Siskiyou County Free Library ;; Yolo COE ;; Yuba CC ;; Yuba County Library","AT&T","faulty line card",""
"CSU","NOC-640070","CMS Santa Clara Data Center 1G to Los Angeles is unstable","2021-01-18 14:22:00","2021-01-18 17:16:00","02:54","CMS - Santa Clara","","Zayo","fiber damage",""
"K12/COE","NOC-640033","Circuits Outage","2021-01-17 18:20:00","2021-01-17 18:27:00","00:07","Riverside - Indio COE","Riverside COE","Environmental","other","Associate maintenance"
"K12/COE","NOC-639957","Los Angeles USD Van Nuys's circuit to Tustin was down.","2021-01-15 12:25:00","2021-01-15 12:30:00","00:05","","Los Angeles USD - Van Nuys","Crown Castle","other","Unrelated planned maintenance"
"K12/COE","NOC-639925","100G circuit to Oakland is down.","2021-01-15 00:42:00","2021-01-15 01:08:00","00:26","Alameda COE ;; Contra Costa COE","","Comcast","unknown",""
"K12/COE","NOC-639929","The connection to Riverside COE Murrieta Office is currently down","2021-01-15 02:15:00","2021-01-15 02:21:00","00:06","","Riverside COE - Murrieta Office","Environmental","unknown","Customer owned fiber"
"CC","NOC-639917","10G circuit to Triangle Court went down.","2021-01-15 00:07:00","2021-01-15 00:12:00","00:05","Butte Glenn CCD","","AT&T","unknown",""
"Multi-site","NOC-639891","Central Valley Outage","2021-01-14 15:03:00","2021-01-14 17:50:00","02:47","Earlimart School District ;; Mariposa COE","","CENIC Internal","other","Premature start of maintenance by Lumen"
"Multi-site","NOC-639862","Several circuits were down in the San Diego area.","2021-01-14 10:04:00","2021-01-14 14:11:00","04:07","CSU San Marcos","San Diego County Library - El Cajon","AT&T","faulty line card",""
"Multi-site","NOC-639825","Multiple AT&T Circuits in Fergus are Down.","2021-01-13 23:47:00","2021-01-14 15:16:00","15:29","Fresno County Library ;; Kings County Library ;; Madera County Library ;; Mariposa COE ;; Merced County Library","","AT&T","faulty line card",""
"Multi-site","NOC-639875","Multiple circuits in there Central Valley were unstable.","2021-01-14 11:51:00","2021-01-14 12:11:00","00:20","Fresno County Library ;; Kings County Library ;; Madera County Library ;; Mariposa County Library ;; Merced County Library","","AT&T","faulty line card",""
"CC","NOC-639833","Circuit down.","2021-01-14 01:49:00","2021-01-14 02:28:00","00:39","","Southwestern CCD HEC - National City","AT&T","faulty line card",""
"CC","NOC-639771","Circuit between Santa Monica College and Santa Monica College Media and Design is down.","2021-01-13 11:10:00","2021-01-13 14:58:00","03:48","Santa Monica CC, Center for Media Design ;; Santa Monica College","","Crown Castle","fiber cut",""
"UC","NOC-639715","UCANR Sierra Foothill REC is down.","2021-01-12 19:01:00","2021-01-12 20:50:00","01:49","","UCANR Sierra Foothill REC","Environmental","power outage",""
"CSU","NOC-639729","1G Circuit to Los Angeles unstable.","2021-01-13 00:55:00","2021-01-13 00:56:00","00:01","CMS - Santa Clara","","Zayo","other","Unrelated maintenance"
"K12/COE","NOC-639747","Multiple circuits to Modoc COE went down.","2021-01-13 07:00:00","2021-01-13 07:09:00","00:09","Lassen COE ;; Modoc COE ;; Tulelake Basin Joint USD","","Environmental","unknown",""
