"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-633839","","2020-10-25 16:02:00","2020-10-27 18:26:00","50:24","power outage",""
"Environmental","NOC-633843","","2020-10-25 18:13:00","2020-10-27 16:42:00","46:29","power outage",""
"Environmental","NOC-633832","","2020-10-25 14:00:00","2020-10-27 16:07:00","50:07","power outage",""
"Environmental","NOC-633842","Si046265682","2020-10-25 17:13:00","2020-10-27 15:29:00","46:16","power outage",""
"Environmental","NOC-633849","","2020-10-25 20:29:00","2020-10-26 03:31:00","07:02","power outage",""
"CENIC Internal","NOC-633953","","2020-10-26 16:18:00","2020-10-26 20:08:00","03:50","other","Faulty UPS"
"Environmental","NOC-633844","","2020-10-25 18:25:00","2020-10-26 16:03:00","21:38","power outage",""
"Environmental","NOC-633963","","2020-10-26 17:27:00","2020-10-26 19:24:00","01:57","power outage",""
"Environmental","NOC-633903","","2020-10-26 09:58:00","2020-10-26 17:51:00","07:53","power outage",""
"Environmental","NOC-633925","TTN-0004537931","2020-10-26 12:54:00","2020-10-26 14:38:00","01:44","power outage",""
"AT&T","NOC-633861","","2020-10-27 02:25:00","2020-10-27 05:08:00","02:43","provider maintenance",""
"Environmental","NOC-633856","","2020-10-25 23:48:00","2020-10-26 08:24:00","08:36","power outage",""
"Environmental","NOC-633835","","2020-10-25 15:28:00","2020-10-27 10:17:00","42:49","power outage",""
"Environmental","NOC-633845","","2020-10-25 18:56:00","2020-10-27 08:58:00","38:02","power outage",""
"Environmental","NOC-633847","","2020-10-25 19:22:00","2020-10-27 10:38:00","39:16","power outage",""
"Environmental","NOC-633922","LE126944(OLD)  LE126997 (NEW)","2020-10-26 12:06:00","2020-10-27 09:02:00","20:56","power outage",""
"Environmental","NOC-633844","","2020-10-25 18:25:00","2020-10-26 12:38:00","18:13","power outage",""
"Environmental","NOC-633674","291712832","2020-10-22 16:19:00","2020-10-26 10:24:00","90:05","power outage",""
"Environmental","NOC-633893","","2020-10-26 08:23:00","2020-10-26 09:48:00","01:25","power outage",""
"Environmental","NOC-633857","","2020-10-26 01:24:00","2020-10-26 01:45:00","00:21","power outage",""
"Environmental","NOC-633856","","2020-10-25 23:48:00","2020-10-26 00:02:00","00:14","power outage",""
"AT&T","NOC-633861","","2020-10-26 02:04:00","2020-10-26 02:13:00","00:09","provider maintenance",""
"AT&T ;; CenturyLink (Level3)","NOC-633511","291955731","2020-10-21 10:46:00","2020-10-25 19:43:00","104:57","unknown",""
"AT&T","NOC-633795","DCMC YK003939 / 291894689 /  291894688 / 291906576 / 291912331 /  291912332","2020-10-24 04:56:00","2020-10-24 05:59:00","01:03","provider maintenance",""
"Environmental","NOC-633818","","2020-10-25 09:00:00","2020-10-25 09:30:00","00:30","power outage",""
"AT&T","NOC-633621","291648885, 291648582, 291648776","2020-10-22 07:13:00","2020-10-23 10:50:00","27:37","fiber cut",""
"CENIC Internal","NOC-633462","","2020-10-20 23:47:00","2020-10-23 15:05:00","63:18","other","Defective UPS"
"Environmental","NOC-633767","291831641, 291832954","2020-10-23 14:28:00","2020-10-23 14:34:00","00:06","power outage",""
"AT&T","NOC-633737","291795972 291798767 291799581 291798676 291798677","2020-10-23 09:47:00","2020-10-23 09:57:00","00:10","higher level carrier",""
"Vast","NOC-633706","","2020-10-23 00:07:00","2020-10-23 06:00:00","05:53","provider maintenance",""
"AT&T","NOC-633720","","2020-10-23 04:12:00","2020-10-23 04:15:00","00:03","unknown",""
"Environmental","NOC-633544","","2020-10-21 13:57:00","2020-10-23 00:29:00","34:32","power outage",""
"Cisco","NOC-633446","690152690","2020-10-20 17:48:00","2020-10-22 19:53:00","50:05","faulty line card",""
"AT&T","NOC-633667","291685228 / 291681738 / 291698607","2020-10-22 13:03:00","2020-10-22 13:04:00","00:01","higher level carrier",""
"Charter","NOC-632743","ECT-80339900 ","2020-10-14 18:50:00","2020-10-22 11:22:00","184:32","faulty optic",""
"Environmental","NOC-633559","3065","2020-10-21 18:15:00","2020-10-22 09:25:00","15:10","power outage",""
"Environmental","NOC-633624","","2020-10-22 07:55:00","2020-10-22 09:34:00","01:39","power outage",""
"AT&T","NOC-633590","DCMC : YK003937  / 291623604 / 291628893 / 291628038 / 291629781 / 291629782 /  291626748","2020-10-22 03:13:00","2020-10-22 03:23:00","00:10","faulty line card",""
"Environmental","NOC-633588","","2020-10-22 03:01:00","2020-10-22 04:22:00","01:21","power outage",""
"Environmental","NOC-633568","","2020-10-21 20:13:00","2020-10-21 22:23:00","02:10","power outage",""
"Vast","NOC-633174","3066","2020-10-21 22:58:00","2020-10-21 23:22:00","00:24","fiber damage",""
"Vast","NOC-633514","","2020-10-21 11:47:00","2020-10-21 11:48:00","00:01","unknown",""
"Comcast","NOC-633493","SI-046196646, SI-046196771","2020-10-21 04:22:00","2020-10-21 04:59:00","00:37","provider maintenance",""
"AT&T","NOC-633476","","2020-10-21 02:28:00","2020-10-21 03:00:00","00:32","unknown",""
"Zayo","NOC-633457","","2020-10-20 22:53:00","2020-10-20 23:27:00","00:34","unknown",""
"Environmental","NOC-633470","","2020-10-21 01:17:00","2020-10-21 01:18:00","00:01","unknown",""
