"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"CSU","NOC-637512","CSU Channel Islands' circuit instability.","2020-12-14 16:10:00","2020-12-14 16:22:00","00:12","CSU Channel Islands","","AT&T","unknown",""
"Library","NOC-637449","Oxnard Public Library is unavailable","2020-12-13 23:48:00","2020-12-14 01:15:00","01:27","","Oxnard Public Library","AT&T","unknown",""
"CSU","NOC-637419","CSU Dominguez Hills was unavailable.","2020-12-13 06:47:00","2020-12-13 06:53:00","00:06","","CSU Dominguez Hills","AT&T","unknown",""
"Library","NOC-637397","GigE Circuit to the Tulare Campus is Degraded.","2020-12-12 17:15:00","2020-12-12 20:08:00","02:53","Fresno County Library ;; Kings County Library","","Vast","faulty line card",""
"CC","NOC-637399","GigE Circuit to the Tulare Campus is Degraded.","2020-12-12 17:15:00","2020-12-13 20:08:00","26:53","College of the Sequoias - Hanford Campus ;; College of the Sequoias - Tulare Campus ;; College of the Sequoias CCD","","Vast","faulty line card",""
"K12/COE","NOC-637193","The circuits between Del Norte COE and Siskiyou COE are down.","2020-12-09 17:36:00","2020-12-11 14:53:00","45:17","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Frontier","fiber cut",""
"K12/COE","NOC-637340","100G circuit to Palm Desert is up.","2020-12-11 06:35:00","2020-12-11 07:06:00","00:31","Riverside - Indio COE ;; Riverside COE","","Spectrum","unknown",""
"K12/COE","NOC-636965","Loyalton HS - Sierra COE East down","2020-12-07 08:01:00","2020-12-09 05:52:00","45:51","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Plumas-Sierra Telecom","faulty line card",""
"UC","NOC-637143","University of California Health System 10G Circuit to Quincy is Down","2020-12-08 22:26:00","2020-12-09 00:03:00","01:37","","","Zayo","provider maintenance",""
"Multi-site","NOC-637204","Multiple circuits are unstable in the Bay Area.","2020-12-09 20:03:00","2020-12-09 20:55:00","00:52","Allan Hancock CCD ;; San Jose Public Library","CMS - Santa Clara ;; MARINet ;; Monterey Peninsula CCD - Marina Ed Center ;; Pacific Grove Public Library ;; Pleasanton Public Library ;; Santa Cruz Public Library ;; UCSC Lick_Observatory","CenturyLink (Level3)","other","Generator failure"
"Multi-site","NOC-637187","Multiple SoCal services impacted","2020-12-09 16:12:00","2020-12-09 16:28:00","00:16","Los Nettos ;; OpenFlow to Sacramento ;; UC Merced HPR ;; UC San Diego to NOAA ;; OpenFlow to Sacramento ;; San Diego SuperComputing Center ;; UC Berkeley ;; UC San Diego DC ;; UC San Diego HPR ;; UC San Diego to NOAA","","Environmental","power outage",""
"K12/COE","NOC-637328","The 100G circuit between Alameda COE and Contra Costa COE was down.","2020-12-11 02:35:00","2020-12-11 02:59:00","00:24","Alameda COE ;; Contra Costa COE","","Comcast","unknown",""
"Multi-site","NOC-637252","Multiple AT&T circuits down.","2020-12-10 04:12:00","2020-12-10 18:21:00","14:09","CSU Northridge ;; Long Beach City College ;; Long Beach PCC","Santa Clarita Public Library ;; Thousand Oaks Public Library","AT&T","faulty line card",""
"Other","NOC-637309","Pepperdine University West LA Campus circuit was down.","2020-12-10 17:52:00","2020-12-10 17:57:00","00:05","","Pepperdine University West LA Campus","AT&T","unknown",""
"UC","NOC-637208","Stanford 100G circuits to Sunnyvale hubsite are down.","2020-12-09 20:03:00","2020-12-10 10:16:00","14:13","Stanford University","","Environmental","power outage",""
"CC","NOC-636967","Both circuits to Oxnard CC are down.","2020-12-09 04:01:00","2020-12-09 04:07:00","00:06","","Oxnard - Ventura County CCD","AT&T","unknown",""
"CC","NOC-636967","Both circuits to Oxnard CC are down.","2020-12-07 08:05:00","2020-12-08 16:27:00","32:22","","Oxnard - Ventura County CCD","AT&T","faulty line card",""
