"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Frontier","NOC-626252","","2020-07-20 09:23:00","2020-07-21 17:17:00","31:54","fiber cut",""
"Spectrum","NOC-626424","ECT80230936, ECT80230943, (ECT-80231524 New)","2020-07-21 15:53:00","2020-07-21 15:55:00","00:02","unknown",""
"AT&T","NOC-626362","283413054 283412129 283412010 283413154 283413619 283413155 283413510","2020-07-21 08:09:00","2020-07-21 10:18:00","02:09","faulty line card",""
"Environmental","NOC-626379","","2020-07-21 11:57:00","2020-07-21 12:25:00","00:28","power outage",""
"Environmental","NOC-626243","","2020-07-20 08:13:00","2020-07-20 17:47:00","09:34","power outage",""
"Comcast","NOC-626259","","2020-07-20 10:37:00","2020-07-20 17:19:00","06:42","unknown","RFO pending"
"Comcast","NOC-626345","SI044336802","2020-07-21 01:24:00","2020-07-21 02:15:00","00:51","unknown",""
"Environmental","NOC-626309","","2020-07-20 19:46:00","2020-07-20 22:46:00","03:00","power outage",""
"CenturyLink (Level3)","NOC-626336","19239326","2020-07-21 00:44:00","2020-07-21 00:45:00","00:01","unknown",""
"Vast","NOC-626334","","2020-07-21 00:01:00","2020-07-21 00:29:00","00:28","provider maintenance",""
"Environmental","NOC-626254","283375346 / 283374640 / 283375210","2020-07-20 09:18:00","2020-07-20 10:07:00","00:49","power outage",""
"AT&T","NOC-626240","","2020-07-20 07:21:00","2020-07-20 09:46:00","02:25","unknown","RFO not given"
"Spectrum","NOC-626218","","2020-07-19 15:57:00","2020-07-19 16:35:00","00:38","faulty line card",""
"Environmental","NOC-626177","","2020-07-18 04:14:00","2020-07-18 13:04:00","08:50","power outage",""
"AT&T","NOC-626187","FE139655","2020-07-18 09:05:00","2020-07-18 09:06:00","00:01","unknown","RFO pending"
"Vast","NOC-626056","","2020-07-16 15:21:00","2020-07-16 16:08:00","00:47","unknown",""
"Crown Castle","NOC-625973","CCF20311977","2020-07-15 16:34:00","2020-07-15 16:39:00","00:05","unknown","Generic DF RFO"
"AT&T","NOC-625922","","2020-07-15 11:11:00","2020-07-15 11:19:00","00:08","higher level carrier",""
"CENIC Internal","NOC-625986","","2020-07-15 20:15:00","2020-07-15 20:35:00","00:20","fiber damage","Caused by CENIC maintenance"
"Vast","NOC-625941","","2020-07-15 15:18:00","2020-07-15 20:40:00","05:22","fiber damage",""
"Environmental","NOC-625895","","2020-07-15 06:01:00","2020-07-15 09:30:00","03:29","power outage",""
"GeoLinks","NOC-625899","VD-0715-933","2020-07-15 07:17:00","2020-07-15 10:11:00","02:54","unknown",""
"Frontier","NOC-625904","2817469","2020-07-15 07:52:00","2020-07-15 08:05:00","00:13","higher level carrier",""
"AT&T","NOC-626207"," 283328749","2020-07-18 18:17:00","2020-07-18 18:24:00","00:07","higher level carrier",""
