"vendors_involved","issue","telco_ticket_id","start","end","duration","rfo_category","rfo_description"
"Environmental","NOC-628908","","2020-08-24 14:12:00","2020-08-24 15:44:00","01:32","utility maintenance",""
"AT&T","NOC-628924","286459865","2020-08-24 15:36:00","2020-08-25 12:28:00","20:52","fiber cut",""
"AT&T","NOC-628923","286460539","2020-08-24 15:36:00","2020-08-25 13:12:00","21:36","fiber cut",""
"Spectrum","NOC-628930","ECT-80274511","2020-08-24 16:19:00","2020-08-25 07:33:00","15:14","unknown",""
"Environmental","NOC-628917","ECT-80274452","2020-08-24 15:23:00","2020-08-24 17:34:00","02:11","power outage",""
"Comcast","NOC-628979","SI045116984","2020-08-25 07:17:00","2020-08-25 07:18:00","00:01","unknown","RFO pending"
"Level3","NOC-628887","","2020-08-24 10:41:00","2020-08-24 01:04:00","-10:23","fiber cut",""
"Zayo","NOC-628971","4360513","2020-08-25 03:12:00","2020-08-25 03:13:00","00:01","unknown","RFO pending"
"Spectrum","NOC-628892","","2020-08-24 10:41:00","2020-08-24 16:32:00","05:51","fiber cut","Services rerouted during fiber cut"
"Vast","NOC-628884","","2020-08-24 10:19:00","2020-08-24 12:38:00","02:19","fiber damage","Contractor closed door on some fiber"
"AT&T","NOC-628835","","2020-08-22 11:58:00","2020-08-23 00:40:00","12:42","faulty line card",""
"Vast","NOC-628849","","2020-08-22 20:14:00","2020-08-22 20:16:00","00:02","unknown",""
"Environmental","NOC-628815","","2020-08-21 19:23:00","2020-08-22 09:22:00","13:59","power outage",""
"Crown Castle","NOC-628811","CCF20324178","2020-08-21 18:47:00","2020-08-21 18:53:00","00:06","unknown","Generic DF RFO"
"Zayo","NOC-628816","","2020-08-21 19:12:00","2020-08-21 19:13:00","00:01","unknown",""
"Crown Castle","NOC-628286","CCF20323010/CCF20323014","2020-08-16 19:20:00","2020-08-21 15:25:00","116:05","faulty line card",""
"Frontier","NOC-628707","2836912","2020-08-20 19:16:00","2020-08-21 12:00:00","16:44","higher level carrier",""
"Environmental","NOC-628720","","2020-08-20 19:15:00","2020-08-21 11:47:00","16:32","fiber cut",""
"Environmental","NOC-628726","","2020-08-20 19:41:00","2020-08-21 11:48:00","16:07","wildfire",""
"Zayo","NOC-628659","TTN-0004349990","2020-08-20 10:44:00","2020-08-20 13:20:00","02:36","unknown",""
"Crown Castle","NOC-628569","CCF20323580","2020-08-19 13:49:00","2020-08-20 13:45:00","23:56","fiber damage",""
"Vast","NOC-628650","","2020-08-20 09:14:00","2020-08-20 09:17:00","00:03","faulty line card",""
"Vast","NOC-628279","","2020-08-16 16:04:00","2020-08-20 09:44:00","89:40","faulty line card",""
"Cogent","NOC-628614","","2020-08-19 22:53:00","2020-08-20 01:50:00","02:57","provider maintenance",""
"Crown Castle","NOC-628755","","2020-08-21 04:51:00","2020-08-21 05:10:00","00:19","unknown",""
"Vast","NOC-628545","","2020-08-19 09:54:00","2020-08-20 00:19:00","14:25","fiber cut",""
"Crown Castle","NOC-628533","","2020-08-19 09:17:00","2020-08-19 14:21:00","05:04","fiber damage","Non-CENIC managed circuit"
"Environmental","NOC-628574","","2020-08-19 14:16:00","2020-08-19 15:04:00","00:48","power outage",""
"Spectrum","NOC-628376","ECT-80266919","2020-08-17 13:23:00","2020-08-18 21:28:00","32:05","faulty line card",""
"Environmental","NOC-628498","","2020-08-18 21:56:00","2020-08-19 08:12:00","10:16","power outage",""
"Environmental","NOC-628268","286141469 , FE141339(ADE 888-457-3087  3 1 2)","2020-08-18 17:17:00","2020-08-18 19:37:00","02:20","power outage",""
"Vast","NOC-628527","","2020-08-19 08:37:00","2020-08-19 09:34:00","00:57","fiber damage",""
"Vast","NOC-628526","","2020-08-19 08:37:00","2020-08-19 08:46:00","00:09","fiber damage",""
"AT&T","NOC-628521","","2020-08-19 07:06:00","2020-08-19 07:09:00","00:03","unknown",""
"Environmental","NOC-628499","","2020-08-18 22:26:00","2020-08-19 02:32:00","04:06","power outage",""
