category,issue,scope,start,end,duration,diversity,connectivity,vendors_involved,rfo_category,rfo_description
Library,NOC-628478,Torrance Public Library - North Torrance Branch Library is down.,8/18/20 16:33,8/18/20 18:27,1:54,,Torrance Public Library - North Torrance Branch Library,Environmental,power outage,
Library,NOC-628442,Merced County Library is unreachable.,8/18/20 7:44,8/18/20 9:19,1:35,Madera County Library ;; Mariposa County Library,Merced County Library,Environmental,power outage,
Multi-site,NOC-628424,Multiple circuits in the SoCal Region bounced.,8/18/20 3:08,8/18/20 3:11,0:03,Victor Valley CCD - SCLA School of Aviation Technology ;; Victorville City Library,Corona Public Library ;; UC Agricultural and Natural Resources - Desert ;; UCANR Rubidoux REC,Environmental,power outage,
Multi-site,NOC-628432,Multiple circuits in the SoCal Region bounced.,8/18/20 5:11,8/18/20 5:14,0:03,College of the Desert,Copper Mountain CCD ;; Riverside - Indio COE,Spectrum,higher level carrier,
Multi-site,NOC-628296,Line card failure at Fergus hubsite.,8/17/20 0:21,8/17/20 21:43,21:22,Fresno COE ;; Kern COE ;; San Joaquin COE ;; San Luis Obispo COE,,Cisco,faulty line card,CENIC LC replacement
CC,NOC-628325,Yuba Community College District is unreachable.,8/17/20 8:04,8/17/20 18:51,10:47,,Yuba Community College District,Environmental,power outage,
CC,NOC-628376,Cuesta College North County Campus GE circuit to Riverside was unstable.,8/17/20 13:23,8/17/20 14:11,0:48,Cuesta College ;; Cuesta College North County Campus,,Spectrum,faulty line card,
CC,NOC-628167,Mt. San Jacinto's 10G circuit to Riverside outage.,8/14/20 11:25,8/17/20 10:21,70:56:00,Mt. San Jacinto CCD,,Crown Castle,fiber damage,
UC,NOC-628269,UCANR Elkus Ranch REC unreachable.,8/16/20 3:27,8/17/20 8:39,29:12:00,,UCANR Elkus Ranch REC,Environmental,power outage,
Library,NOC-628268,St Helena Public Library restored,8/16/20 4:55,8/17/20 13:56,33:01:00,,St. Helena Public Library,Environmental,power outage,
K12/COE,NOC-628375,Santa Clara COE 100G circuit to Sunnyvale brief bounce.,8/17/20 13:14,8/17/20 13:18,0:04,Santa Clara COE,,Crown Castle,unknown,
Multi-site,NOC-628319,Multiple circuits down in the Central Valley due to power outages.,8/17/20 8:17,8/17/20 10:41,2:24,Sutter COE ;; Yuba COE,Lincoln Public Library ;; Yuba County Library,Environmental,power outage,
Multi-site,NOC-628313,Brief multiple circuit outage in the NorCal region.,8/17/20 7:39,8/17/20 7:40,0:01,Lake Tahoe CC ;; Lake Tahoe USD ;; Los Rios CCD ;; Tahoe Truckee USD ;; Yuba CCD - Sutter County Center ;; Yuba Community College District,,AT&T,higher level carrier,
CC,NOC-628301,Mt San Antonio CC circuit to Los Angeles is down.,8/17/20 3:35,8/17/20 5:17,1:42,Mt. San Antonio CCD,,Spectrum,unknown,
Library,NOC-628039,Pacific Grove Public Library unreachable.,8/13/20 5:05,8/13/20 8:32,3:27,,Pacific Grove Public Library,Environmental,power outage,
CSU,NOC-628050,CSU Human Resources - Information Support and Analysis Unit Circuit Instability,8/13/20 9:24,8/13/20 9:47,0:23,,CSU Human Resources - Information Support and Analysis,AT&T,faulty line card,ATT device lost power
CC,NOC-628278,Cuesta College North County Campus GE circuit to Riverside is down.,8/16/20 15:51,8/16/20 22:42,6:51,Cuesta College ;; Cuesta College North County Campus,,Spectrum,unknown,
Multi-site,NOC-628248,Sites down in Monterey,8/15/20 18:29,8/16/20 9:39,15:10,CSU Monterey Bay,Monterey Peninsula CCD - Marina Ed Center,Environmental,power outage,
Multi-site,NOC-628276,Multiple CVIN circuits bounced in the Central Valley.,8/16/20 10:45,8/16/20 10:46,0:01,Coalinga District Library ;; CSU Bakersfield ;; Earlimart School District ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC,,Vast,unknown,
Multi-site,NOC-628252,Several Frontier circuits bounced.,8/15/20 20:08,8/15/20 20:30,0:22,Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center ;; Siskiyou COE ;; Tulelake Basin Joint USD ;; Yuba Community College District,Yuba CCD Colusa County Campus,Frontier,higher level carrier,
Library,NOC-628239,100M Circuit is unstable,8/15/20 14:20,8/15/20 21:00,6:40,Coalinga District Library ;; Kern County Library,,AT&T,other,Likely weather related
CC,NOC-628246,10GE Circuit Outage,8/15/20 18:43,8/15/20 18:52,0:09,Santa Monica College ;; Santa Monica College - Center for Media and Design,,Crown Castle,unknown,Pending
K12/COE,NOC-628196,Tahoe Truckee USD is unreachable.,8/14/20 17:39,8/15/20 4:10,10:31,Lake Tahoe USD,Tahoe Truckee USD,Environmental,power outage,
Multi-site,NOC-628144,Multiple Spectrum circuits down.,8/14/20 16:23,8/14/20 23:00,6:37,Cuesta College ;; Cuesta College North County Campus ;; Mt. San Antonio CCD,Rancho Cucamonga Public Library ;; Victorville City Library,Spectrum,fiber cut,
Multi-site,NOC-628192,CVIN circuits instability,8/14/20 14:51,8/14/20 18:00,3:09,Fresno County Library ;; Kings County Library ;; Madera County Library ;; Mariposa County Library ;; Merced County Library,,Vast,unknown,
Multi-site,NOC-628217,Northern California outage,8/14/20 19:11,8/14/20 21:30,2:19,Santa Rosa JC Public Safety Training Center ;; Santa Rosa Junior College - Petaluma Campus,El Dorado County Library - Cameron Park Library ;; El Dorado County Library - El Dorado Hills Branch ;; El Dorado County Library - Georgetown Branch ;; El Dorado County Library - Pollock Pines Branch ;; Santa Rosa JC Shone Agriculture Center,Environmental,power outage,
CC,NOC-628209,Los Rios CCD El Dorado Center is down,8/14/20 18:39,8/14/20 22:15,3:36,,Los Rios CCD El Dorado Center,Environmental,power outage,
Library,NOC-628221,GE Circuit Instablity,8/14/20 19:37,8/14/20 20:06,0:29,,Salinas Public Library,Environmental,power outage,
CC,NOC-628220,GE Circuit Went Down,8/14/20 19:53,8/14/20 20:05,0:12,,Southwestern CCD HEC - San Ysidro,Environmental,power outage,
Multi-site,NOC-628206,Multiple circuits bounced in the Bay Area,8/14/20 18:01,8/14/20 18:03,0:02,City College of San Francisco CCD ;; Lake COE ;; Mendocino College ;; Skyline College ;; Solano COE ;; Sonoma COE,"Sonoma County Library - Central Library ;; St. Helena Public Library ;; University of California, Hastings College of Law",AT&T,higher level carrier,
K12/COE,NOC-628150,The circuit to Riverside - Indio COE is up.,8/14/20 8:57,8/14/20 9:38,0:41,Riverside - Indio COE,,Environmental,power outage,
CC,NOC-628058,1G Circuit between Victor Valley - SOA and Victory Valley CCD is down.,8/13/20 9:40,8/14/20 8:46,23:06,Victor Valley CCD ;; Victor Valley CCD - SCLA School of Aviation Technology,,Spectrum,fiber damage,
Multi-site,NOC-628160,Several AT&T circuits bounced in the Los Angeles area.,8/14/20 10:02,8/14/20 10:03,0:01,,Beaumont Library District ;; Crafton Hills College,AT&T,higher level carrier,
Multi-site,NOC-628144,Multiple Spectrum circuits were down.,8/14/20 7:46,8/14/20 7:55,0:09,Cuesta College ;; Cuesta College North County Campus ;; Mt. San Antonio CCD,Rancho Cucamonga Public Library ;; Victorville City Library,Spectrum,fiber cut,
K12/COE,NOC-628127,The 100GE circuit for LAUSD was briefly unavailable.,8/14/20 2:18,8/14/20 2:24,0:06,Los Angeles USD ;; Los Angeles USD - Van Nuys,,Crown Castle,unknown,
UC,NOC-628040,UCANR Elkus Ranch REC unreachable.,8/13/20 5:46,8/13/20 10:10,4:24,,UCANR Elkus Ranch REC,Environmental,power outage,
K12/COE,NOC-627955,Los Angeles COE Secondary 10G circuit to Tustin is down.,8/12/20 8:01,8/13/20 15:29,31:28:00,Los Angeles COE,,AT&T,fiber damage,
Library,NOC-628001,Cameron Park Library is down.,8/12/20 18:27,8/12/20 23:20,4:53,,El Dorado County Library - Cameron Park Library,Environmental,power outage,
Library,NOC-628003,Palm Springs Public Library was down.,8/12/20 18:30,8/12/20 18:54,0:24,,Palm Springs Public Library,Spectrum,provider maintenance,
UC,NOC-627994,UCSF Health System's tertiary 10G to Quincy is down.,8/12/20 16:46,8/12/20 17:24,0:38,,,Zayo,faulty line card,
K12/COE,NOC-627981,2 of the circuits to Sutter COE are currently up.,8/12/20 12:18,8/12/20 12:51,0:33,Sutter COE ;; Yuba City Schools,,Environmental,power outage,
