"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"CSU","NOC-629622","CSU Channel Islands 10G circuit to Tustin went down","2020-09-01 22:12:00","2020-09-01 22:17:00","00:05","CSU Channel Islands","","AT&T","unknown","RFO pending"
"K12/COE","NOC-629594","Glenn COE was down.","2020-09-01 16:35:00","2020-09-01 18:00:00","01:25","Tehama COE","Glenn COE - Orland","Environmental","power outage",""
"K12/COE","NOC-629463","The connection to Riverside COE Murrieta Office is currently down.","2020-08-31 10:33:00","2020-09-01 11:28:00","24:55","","Riverside COE - Murrieta Office","Spectrum","fiber cut","Customer managed fiber"
"Library","NOC-629518","Los Angeles Public Library's 100G circuit bounced.","2020-09-01 06:35:00","2020-09-01 06:36:00","00:01","","Los Angeles Public Library","Crown Castle","unknown",""
"Other","NOC-629487","CENIC La Mirada Office Power Outage.","2020-08-31 20:40:00","2020-09-01 04:11:00","07:31","","CENIC La Mirada Office","Environmental","power outage","LaM Outage"
"CC","NOC-629480","Antelope Valley College Palmdale Education Center circuit to Tustin is unstable.","2020-08-31 15:35:00","2020-08-31 17:11:00","01:36","Antelope Valley College ;; Antelope Valley College Palmdale Education Center","","Spectrum","unknown",""
"Multi-site","NOC-629504","Equipment failure at UC Berkeley","2020-09-01 00:09:00","2020-09-01 02:28:00","02:19","University of California, Berkeley ;; University of California, Office of the President - UC Berkeley","","Cisco","faulty line card","Faulty CENIC equipment"
"CC","NOC-629489","GE Circuits are down","2020-08-31 17:47:00","2020-08-31 18:07:00","00:20","Sierra CCD - Roseville Center ;; Sierra CCD - Tahoe-Truckee Center ;; Sierra Joint CCD","Sierra CC - Western Nevada County Center","AT&T","unknown",""
"CC","NOC-629447","Merritt CC restored","2020-08-31 08:05:00","2020-08-31 10:05:00","02:00","Merritt College","","Environmental","power outage",""
"Library","NOC-629388","Monterey Park Bruggemeyer Library restored","2020-08-30 00:26:00","2020-08-31 09:09:00","32:43","","Monterey Park Bruggemeyer Library","Environmental","power outage",""
"Other","NOC-629407","Pepperdine 10G Circuit to Los Angeles down.","2020-08-30 21:50:00","2020-08-31 07:03:00","09:13","","Pepperdine University","Spectrum","fiber cut",""
"Library","NOC-629445","The Spectrum circuit to Rancho Mirage Public Library was down.","2020-08-31 07:27:00","2020-08-31 07:35:00","00:08","","Rancho Mirage Public Library","Spectrum","unknown",""
"K12/COE","NOC-629377","The 1GE Loyalton HS - Sierra COE East circuit to West Sacramento restored.","2020-08-29 09:32:00","2020-08-29 10:22:00","00:50","Del Norte COE ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Siskiyou COE ;; Tulelake Basin Joint USD","","Environmental","power outage",""
"Other","NOC-629358","Switch is down","2020-08-28 19:25:00","2020-08-28 21:39:00","02:14","","Montage Health","CENIC Internal","other","CENIC switch reload"
"CC","NOC-629309","1GE circuit to Sunnyvale has restored.","2020-08-28 11:11:00","2020-08-28 15:18:00","04:07","College of the Alameda Science Annex Center","","AT&T","unknown",""
"Multi-site","NOC-629320","Services restored","2020-08-28 13:48:00","2020-08-28 14:48:00","01:00","","College of Alameda ;; College of the Alameda Science Annex Center","Environmental","power outage",""
"K12/COE","NOC-629141","Pomona USD was down.","2020-08-26 18:00:00","2020-08-27 18:31:00","24:31","","Pomona USD","Crown Castle","fiber cut",""
"Multi-site","NOC-629289","Multiple AT&T circuits bounced.","2020-08-28 07:49:00","2020-08-28 07:51:00","00:02","LA Southwest College","Los Angeles County Library","AT&T","unknown",""
"Backbone","NOC-629212","Multiple sites unreachable due to Equinix Outage.","2020-08-27 12:37:00","2020-08-28 06:30:00","17:53","","","Equinix","faulty line card","Faulty Equinix equipment"
"UC","NOC-629007","The 10GE xD circuit from UC Riverside to San Diego Computing is down.","2020-08-25 14:19:00","2020-08-26 06:00:00","15:41","","","Cisco ;; Equinix","other","Optic reseating"
"Multi-site","NOC-628979","Multiple Comcast circuits are unstable.","2020-08-25 07:17:00","2020-08-25 15:11:00","07:54","Sierra CCD - Roseville Center","El Dorado County Library - Cameron Park Library ;; El Dorado County Library - El Dorado Hills Branch ;; El Dorado County Library - Pollock Pines Branch ;; Orland Free Library","Comcast","unknown",""
"Multi-site","NOC-629273","Multiple UCANR services down","2020-08-28 01:58:00","2020-08-28 02:23:00","00:25","","UCANR Hansen REC ;; UCANR Lindcove REC ;; UCANR Sierra Foothill REC","GeoLinks","unknown",""
"Multi-site","NOC-629163","Multiple CVIN circuits are unstable.","2020-08-27 04:34:00","2020-08-27 17:18:00","12:44","Coalinga District Library ;; CSU Bakersfield ;; Earlimart School District ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; San Luis Obispo COE ;; State Center CCD (Fresno) ;; Taft College ;; West Hills CCD ;; West Hills Lemoore CC ;; West Hills North District Center CC","","Vast","faulty line card",""
"K12/COE","NOC-629159","Madera COE - Madera Avenue Location 10G circuit to Fergus is Down","2020-08-26 22:30:00","2020-08-27 14:33:00","16:03","Madera COE - Madera Avenue Location","","Vast","fiber damage",""
"Multi-site","NOC-629151","Dark fiber between Chaffey Joint UHSD and San Bernardino CSS bounced.","2020-08-27 01:13:00","2020-08-27 09:00:00","07:47","Chaffey Joint UHSD ;; San Bernardino CSS ;; Victor Valley CCD","","Spectrum","unknown",""
"CC","NOC-629195","The circuits to Monterey Peninsula CCD are up.","2020-08-27 08:56:00","2020-08-27 10:14:00","01:18","","Monterey Peninsula College","Environmental","power outage",""
"CC","NOC-629215","Palomar Rancho Santa Fe CC bounce","2020-08-27 13:09:00","2020-08-27 13:10:00","00:01","Palomar CC South Education Center ;; Palomar College ;; Palomar College Escondido Center ;; Palomar College North Education Center ;; Palomar Rancho Santa Fe CC","","AT&T","unknown",""
"Multi-site","NOC-629086","Multiple CVIN circuits are down.","2020-08-26 08:07:00","2020-08-26 22:30:00","14:23","Madera County Library ;; Mariposa COE ;; Merced County Library","Madera COE ;; Mariposa County Library","Vast","fiber cut",""
"UC","NOC-629132","Loss of network connectivity to UCANR Lindcove REC.","2020-08-26 16:12:00","2020-08-26 17:12:00","01:00","","UCANR Lindcove REC","GeoLinks","unknown",""
"CC","NOC-629131","Cuesta College North County Campus was down.","2020-08-26 16:02:00","2020-08-26 18:04:00","02:02","Cuesta College","Cuesta College North County Campus","Environmental","power outage",""
