category,issue,scope,start,end,duration,diversity,connectivity,vendors_involved,rfo_category,rfo_description
CC,NOC-628908,Palomar College South Education Center down,8/24/20 14:12,8/24/20 15:44,1:32,Palomar College ;; Palomar College Escondido Center ;; Palomar College North Education Center ;; Palomar Rancho Santa Fe CC,Palomar CC South Education Center,Environmental,utility maintenance,
CC,NOC-628924,10GE to Sunnyvale Down,8/24/20 15:36,8/25/20 12:28,20:52,Los Medanos College,,AT&T,fiber cut,
CC,NOC-628923,GE to Oakland Down,8/24/20 15:36,8/25/20 13:12,21:36,Brentwood Center CC,,AT&T,fiber cut,
CC,NOC-628930,Rio Hondo Santa Fe Fire Academy circuit to Tustin is unstable.,8/24/20 16:19,8/25/20 7:33,15:14,Rio Hondo CC ;; Rio Hondo CC - Fire Academy ;; Rio Hondo CC - Pico Rivera Education Center ;; Rio Hondo CC - South Whittier Education Center ;; Rio Hondo CCD El Monte Education Center,,Spectrum,unknown,
CC,NOC-628917,The 10GigE circuit between College of the Canyons and Canyon Country Education Center is down.,8/24/20 15:23,8/24/20 17:34,2:11,Canyon Country Education Center ;; College of the Canyons,,Environmental,power outage,
Multi-site,NOC-628979,Multiple Comcast circuits bounced.,8/25/20 7:17,8/25/20 7:18,0:01,,El Dorado County Library - Cameron Park Library ;; El Dorado County Library - El Dorado Hills Branch ;; El Dorado County Library - Pollock Pines Branch ;; Orland Free Library,Comcast,unknown,RFO pending
Backbone,NOC-628887,"CENIC Fiber Route between Bakersfield, CA and Summit, CA is down.",8/24/20 10:41,8/24/20 1:04,#VALUE!,"Central Valley Independent Network ;; University of California, Merced HPR",,Level3,fiber cut,
UC,NOC-628971,UCSF Health System Secondary 10G circuit to Quincy bounced,8/25/20 3:12,8/25/20 3:13,0:01,,,Zayo,unknown,RFO pending
CC,NOC-628892,Taft College 1GE circuit to Los Angeles is down.,8/24/20 10:41,8/24/20 16:32,5:51,Taft College,,Spectrum,fiber cut,Services rerouted during fiber cut
Multi-site,NOC-628884,Multiple CVIN circuits are unstable in the Central Valley.,8/24/20 10:19,8/24/20 12:38,2:19,CSU Bakersfield ;; Earlimart School District ;; Fresno City College ;; Kern CCD ;; Kern COE ;; Kern County Library ;; West Hills Lemoore CC,Taft College,Vast,fiber damage,Contractor closed door on some fiber
Multi-site,NOC-628835,Multiple circuits in NorCal down,8/22/20 11:58,8/23/20 0:40,12:42,Alameda County Library ;; Brentwood Center CC ;; Cabrillo CCD ;; Chabot College ;; Gavilan - Gavilan Joint CCD ;; Mission College ;; Ohlone College ;; Ohlone College Newark Center,,AT&T,faulty line card,
K12/COE,NOC-628849,10GE to Bakersfield Unstable,8/22/20 20:14,8/22/20 20:16,0:02,Kings COE,,Vast,unknown,
CC,NOC-628815,Routers are down,8/21/20 19:23,8/22/20 9:22,13:59,,LA Southwest College,Environmental,power outage,
Multi-site,NOC-628811,Fiber outage,8/21/20 18:47,8/21/20 18:53,0:06,Orange County Department of Education,Los Angeles USD - Van Nuys,Crown Castle,unknown,Generic DF RFO
UC,NOC-628816,UCSF Quincy 10GE bounce,8/21/20 19:12,8/21/20 19:13,0:01,,,Zayo,unknown,
CC,NOC-628286,Routers are down,8/16/20 19:20,8/21/20 15:25,116:05:00,Rio Hondo CC ;; Rio Hondo CC - Fire Academy ;; Rio Hondo CC - Pico Rivera Education Center ;; Rio Hondo CCD El Monte Education Center,Rio Hondo CC - South Whittier Education Center,Crown Castle,faulty line card,
CC,NOC-628707,Shasta CC Trinity Center was down.,8/20/20 19:16,8/21/20 12:00,16:44,,Shasta CCD Trinity Center,Frontier,higher level carrier,
Multi-site,NOC-628720,Multiple AT&T circuits are down in the Bay Area region,8/20/20 19:15,8/21/20 11:47,16:32,Humboldt COE ;; Humboldt State University ;; Northern Humboldt USD,,Environmental,fiber cut,
Multi-site,NOC-628726,Multiple AT&T circuits were down in the Northern California region.,8/20/20 19:41,8/21/20 11:48,16:07,Butte COE ;; Del Norte COE ;; Glenn COE - Orland ;; Lassen COE ;; Loyalton HS - Sierra COE ;; Modoc COE ;; Plumas COE ;; Shasta CC - Tehama ;; Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center ;; Shasta COE ;; Siskiyou COE ;; Tehama COE ;; Trinity COE ;; Tulelake Basin Joint USD,College of the Siskiyous ;; Shasta Public Library - Redding,Environmental,wildfire,
UC,NOC-628659,UCSF Health System circuit was down,8/20/20 10:44,8/20/20 13:20,2:36,,,Zayo,unknown,
CC,NOC-628569,The circuit to Mt. San Jacinto CCD is up.,8/19/20 13:49,8/20/20 13:45,23:56,,Mt. San Jacinto CCD,Crown Castle,fiber damage,
Multi-site,NOC-628650,Multiple CVIN circuits bounced.,8/20/20 9:14,8/20/20 9:17,0:03,Earlimart School District ;; Mariposa COE ;; Porterville College,Kern County Library ;; Kings County Library ;; Madera County Library ;; Tulare County Library,Vast,faulty line card,
Multi-site,NOC-628279,Multiple circuits are up to Fresno Hub-Site.,8/16/20 16:04,8/20/20 9:44,89:40:00,Fresno County Library ;; Kings County Library ;; Madera County Library ;; Mariposa County Library ;; Merced County Library,,Vast,faulty line card,
CSU,NOC-628614,Circuit went down.,8/19/20 22:53,8/20/20 1:50,2:57,,CSU Federal Relations Office,Cogent,provider maintenance,
Multi-site,NOC-628755,Crown Castle fiber circuit bounces.,8/21/20 4:51,8/21/20 5:10,0:19,Orange County Department of Education,Los Angeles USD - Van Nuys,Crown Castle,unknown,
Multi-site,NOC-628545,Multiple circuits are down in the Central Valley,8/19/20 9:54,8/20/20 0:19,14:25,Amador COE ;; Calaveras COE ;; Columbia CC ;; Colusa COE ;; CSU Stanislaus ;; CSU Stanislaus - Stockton Center ;; El Dorado COE ;; Nevada Joint Union HSD ;; Placer COE ;; Sierra COE - WEST ;; Sutter COE ;; Tuolumne COE ;; Yosemite CCD Office ;; Yuba CC ;; Yuba COE,El Dorado County Library ;; Stanislaus County Library,Vast,fiber cut,
K12/COE,NOC-628533,Riverside COE Dark Fiber outage.,8/19/20 9:17,8/19/20 14:21,5:04,Riverside COE,,Crown Castle,fiber damage,Non-CENIC managed circuit
CC,NOC-628574,College of Marin - Indian Valley Campus unavailable.,8/19/20 14:16,8/19/20 15:04,0:48,,College of Marin - Indian Valley Campus,Environmental,power outage,
CC,NOC-628376,Cuesta College North County Campus GE circuit to Riverside was unstable.,8/17/20 13:23,8/18/20 21:28,32:05:00,Cuesta College ;; Cuesta College North County Campus,,Spectrum,faulty line card,
CC,NOC-628498,San Jose Evergreen New District Office is unavailable.,8/18/20 21:56,8/19/20 8:12,10:16,San Jose CC ;; San Jose Evergreen Valley CC,San Jose Evergreen CCD District Office,Environmental,power outage,
Library,NOC-628268,St Helena Public Library is unreachable.,8/18/20 17:17,8/18/20 19:37,2:20,,St. Helena Public Library,Environmental,power outage,
K12/COE,NOC-628527,Stanislaus COE 10G circuit to Fresno restored.,8/19/20 8:37,8/19/20 9:34,0:57,Stanislaus COE,,Vast,fiber damage,
Multi-site,NOC-628526,Brief multiple circuit outage in the Fergus region.,8/19/20 8:37,8/19/20 8:46,0:09,Columbia CC ;; San Joaquin COE,Amador County Library ;; Calaveras County Library ;; Tuolumne County Library,Vast,fiber damage,
